size	testing_accuracy
200	0.6060606241226196
2000	0.87878787517547612000
4000	0.9530302882194519
6000	0.9585858583450317
8000	0.9723485112190247
10000	0.9687879085540771
12000	0.9689394235610962
14000	0.9707792401313782
16000	0.9731060862541199
18000	0.9712121486663818
20000	0.9760606288909912
22000	0.9732782244682312
24000	0.9751262664794922
26000	0.9699300527572632
28000	0.9741342067718506
30000	0.9767676591873169
32000	0.9748106002807617
34000	0.9749554395675659
36000	0.9718855023384094
38000	0.972009539604187
40000	0.9753788113594055
42000	0.9756132960319519
44000	0.9727272987365723
46000	0.9748353362083435
48000	0.9752525091171265
50000	0.9752727150917053
52000	0.9749417304992676
54000	0.9738495945930481
56000	0.9745129942893982
58000	0.9740856885910034
60000	0.9743939638137817
62000	0.9738514423370361
64000	0.9731534123420715
66000	0.9766758680343628
68000	0.9750891327857971
70000	0.9757575988769531
70000	0.9740259647369385
72000	0.9763888716697693
74000	0.9743652939796448
76000	0.974043071269989
78000	0.9757964015007019
80000	0.9749242663383484
82000	0.9741685390472412
84000	0.9744949340820312
86000	0.9739252924919128
88000	0.9740013480186462
90000	0.9761615991592407
92000	0.9754611253738403
94000	0.9732753038406372
96000	0.9742739796638489
98000	0.9740568995475769
100000	0.975454568862915
102000	0.9747177362442017
104000	0.9741550087928772
106000	0.9755860567092896
